STRUCT,Info,3
CPU name:,AMD Ryzen 5 5500U with Radeon Graphics         ,
CPU type:,AMD K17 (Zen2) architecture,
CPU clock:,2.095982342 GHz,
TABLE,Region viterbi_baseline,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 0,
RDTSC Runtime [s],17.182640,
call count,1,
Event,Counter,HWThread 0
ACTUAL_CPU_CLOCK,FIXC1,69047980000
MAX_CPU_CLOCK,FIXC2,36015780000
RETIRED_INSTRUCTIONS,PMC0,188759000000
CPU_CLOCKS_UNHALTED,PMC1,68058300000
RETIRED_SSE_AVX_FLOPS_ALL,PMC2,52092890000
MERGE,PMC3,0
TABLE,Region viterbi_baseline,Group 1 Metric,FLOPS_DP,5
Metric,HWThread 0,
Runtime (RDTSC) [s],17.1826,
Runtime unhalted [s],32.9430,
Clock [MHz],4018.3316,
CPI,0.3606,
DP [MFLOP/s],3031.7163,
